date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:06:13	24334/24334	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2005:54:42%20GMT	http://wordpressboss.com/wb/creato-demo/index-particle.html	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/index-particle.html	(from )
07:06:15	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2005%20Aug%202017%2001:36:10%20GMT	http://wordpressboss.com/robots.txt		(from )
07:06:17	121260/121260	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:55:42%20GMT	http://wordpressboss.com/wb/creato-demo/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/bootstrap/css/bootstrap.min.css	(from )
07:06:17	31000/31000	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:55:02%20GMT	http://wordpressboss.com/wb/creato-demo/assets/fonts/font-awesome.min.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/fonts/font-awesome.min.css	(from )
07:06:19	1478/1478	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:56:19%20GMT	http://wordpressboss.com/wb/creato-demo/assets/owlcarousel/css/owl.carousel.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/owlcarousel/css/owl.carousel.css	(from )
07:06:20	1662/1662	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:56:19%20GMT	http://wordpressboss.com/wb/creato-demo/assets/owlcarousel/css/owl.theme.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/owlcarousel/css/owl.theme.css	(from )
07:06:22	6951/6951	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:54:52%20GMT	http://wordpressboss.com/wb/creato-demo/assets/css/magnific-popup.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/css/magnific-popup.css	(from )
07:06:26	54877/54877	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:54:52%20GMT	http://wordpressboss.com/wb/creato-demo/assets/css/animate.min.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/css/animate.min.css	(from )
07:06:26	3981/3981	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:54:51%20GMT	http://wordpressboss.com/wb/creato-demo/assets/css/effects.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/css/effects.css	(from )
07:06:27	11985/11985	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:54:55%20GMT	http://wordpressboss.com/wb/creato-demo/assets/css/YTPlayer.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/css/YTPlayer.css	(from )
07:06:29	16827/16827	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:54:54%20GMT	http://wordpressboss.com/wb/creato-demo/assets/css/style.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/css/style.css	(from )
07:06:29	3745/3745	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2005:54:53%20GMT	http://wordpressboss.com/wb/creato-demo/assets/css/responsive.css	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/css/responsive.css	(from )
07:06:30	5894/5894	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2005:54:46%20GMT	http://wordpressboss.com/wb/creato-demo/index.html	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/index.html	(from )
07:06:43	58040/58040	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202017%2005:56:08%20GMT	http://wordpressboss.com/wb/creato-demo/assets/images/work/2.jpg	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/images/work/2.jpg	(from )
07:06:55	124311/124311	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202017%2005:56:10%20GMT	http://wordpressboss.com/wb/creato-demo/assets/images/work/4.jpg	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/images/work/4.jpg	(from )
07:07:15	279561/279561	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202017%2005:56:06%20GMT	http://wordpressboss.com/wb/creato-demo/assets/images/work/1.jpg	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/images/work/1.jpg	(from )
07:07:15	196685/196685	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202017%2005:56:13%20GMT	http://wordpressboss.com/wb/creato-demo/assets/images/work/5.jpg	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/images/work/5.jpg	(from )
07:07:22	299866/299866	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202017%2005:56:09%20GMT	http://wordpressboss.com/wb/creato-demo/assets/images/work/3.jpg	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/images/work/3.jpg	(from )
07:07:22	36868/36868	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:57%20GMT	http://wordpressboss.com/wb/creato-demo/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/bootstrap/js/bootstrap.min.js	(from )
07:07:25	14916/14916	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:56:25%20GMT	http://wordpressboss.com/wb/creato-demo/assets/owlcarousel/js/owl.carousel.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/owlcarousel/js/owl.carousel.min.js	(from )
07:07:26	196685/196685	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Jul%202017%2005:56:14%20GMT	http://wordpressboss.com/wb/creato-demo/assets/images/work/6.jpg	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/images/work/6.jpg	(from )
07:07:27	85578/85578	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:23%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/jquery.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/jquery.min.js	(from )
07:07:27	12636/12636	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:24%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/jquery.stellar.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/jquery.stellar.min.js	(from )
07:07:28	2815/2815	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:20%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/app.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/app.js	(from )
07:07:29	23383/23383	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:26%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/particles.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/particles.min.js	(from )
07:07:29	50986/50986	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:24%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/jquery.mixitup.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/jquery.mixitup.js	(from )
07:07:30	20221/20221	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:21%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/jquery.magnific-popup.min.js	(from )
07:07:31	8182/8182	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:28%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/wow.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/wow.min.js	(from )
07:07:32	9524/9524	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:26%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/scripts.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/scripts.js	(from )
07:07:33	44854/44854	---M--	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202017%2005:55:22%20GMT	http://wordpressboss.com/wb/creato-demo/assets/js/jquery.mb.YTPlayer.min.js	C:/My%20Web%20Sites/Website/wordpressboss.com/wb/creato-demo/assets/js/jquery.mb.YTPlayer.min.js	(from )
